"","RepeatID","numPostglac","pGlac","LAT","LONG"
"212",313,1,1,44.061296,-103.280273
"213",315,2,0.5,44.05702,-103.301685
"214",316,1,1,44.051306,-103.313716
"215",317,2,0.5,43.990022,-103.407716
"216",318,2,0.5,43.984243,-103.428569
"217",319,2,0.5,43.980927,-103.442445
"218",320,1,0,43.975411,-103.445508
"219",322,3,0.666666666666667,41.09867,-106.50007
"220",323,2,0.5,41.26071,-105.661548
"221",324,3,0.666666666666667,43.407345,-106.253482
"222",325,2,0,42.507921,-110.469372
"223",327,1,0,43.50698,-105.4475
"224",328,1,0,44.079682,-107.316802
"225",329,4,0,45.532861,-104.1322
"226",330,3,0.666666666666667,47.269193,-107.19429
"227",331,4,1,48.584744,-106.962928
"228",332,1,0,41.276657,-107.60264
"229",333,2,1,41.114228,-110.465323
"230",334,2,0.5,41.068572,-108.733812
"231",335,1,1,46.673316,-107.3642
"232",337,4,0.75,42.819856,-108.317441
"233",338,2,0.5,45.779759,-106.203318
"234",339,3,0.666666666666667,48.249898,-107.57734
"235",341,3,0.666666666666667,47.607558,-108.700102
"236",342,3,0,43.28695,-107.728508
"237",343,2,1,41.42389,-108.421981
"238",344,2,0.5,43.556458,-104.68793
"239",345,3,0.333333333333333,47.662975,-104.059103
"240",346,2,0.5,47.3116,-106.752204
"241",347,3,1,48.451503,-109.918599
"242",348,2,1,48.829622,-105.604984
"243",349,1,0,46.748334,-104.751129
"244",350,5,0.6,45.844514,-104.143877
"245",351,4,0.25,43.28711,-107.725622
"246",352,6,0.666666666666667,43.869082,-108.308559
"247",354,5,0.6,48.796607,-107.042
"248",355,2,1,41.457724,-110.690887
"249",356,1,0,48.746299,-111.224286
"250",357,1,0,48.93938,-109.136825
"251",359,3,0.666666666666667,44.508193,-108.2749
"252",360,4,0.5,47.703877,-107.783398
"253",361,4,0.5,44.894932,-106.984973
"254",362,4,1,45.453982,-108.9594
"255",363,9,0.222222222222222,46.214122,-109.6129
"256",364,5,0.4,42.078953,-110.28956
"257",366,1,0,42.104878,-109.006636
"258",367,4,1,43.616932,-107.842829
"259",368,1,0,47.679319,-107.589194
"260",369,3,0,45.9447,-104.4645
"261",370,2,0,41.476818,-109.270085
"262",371,3,0,42.757803,-110.360457
"263",372,7,0.428571428571429,45.427621,-104.057315
"264",373,2,0.5,42.346606,-109.244008
"265",374,3,0.333333333333333,42.001764,-106.364322
"266",375,2,1,47.985196,-108.322739
"267",376,2,0.5,42.679653,-110.067167
"268",377,5,0.4,43.285276,-108.283275
"269",378,2,1,47.551314,-106.186904
"270",379,5,0.8,43.997629,-108.688644
"271",380,2,0,42.194613,-110.330953
"272",381,3,0.666666666666667,46.643708,-104.935088
"273",382,2,0.5,42.329298,-108.958051
"274",383,4,0.75,41.698812,-106.844348
"275",384,5,0.2,44.881324,-108.550396
"276",385,7,0.714285714285714,47.913384,-105.883996
"277",386,6,1,45.798975,-108.295622
"278",387,5,0.6,47.461067,-108.020499
"279",388,3,0.333333333333333,41.5136,-110.704292
"280",389,2,0.5,41.253202,-109.236529
"281",390,7,0.285714285714286,44.520285,-108.977878
"282",391,5,1,46.989815,-108.9232
"283",392,2,0.5,41.203487,-109.052575
"284",393,5,0.4,46.838555,-104.188202
"285",395,2,0,48.374179,-112.142362
"286",396,9,0.333333333333333,46.356413,-109.242597
"287",397,3,0.333333333333333,46.952859,-109.540792
"288",399,1,0,47.529892,-111.922596
"289",400,4,0.25,46.491062,-109.145422
"290",401,5,0,47.030959,-108.593095
"291",402,3,0.666666666666667,47.129421,-108.785603
"292",403,3,1,48.502709,-109.634747
"293",404,4,0.25,48.40163,-109.204242
"294",406,1,0,48.360543,-104.754321
"295",407,3,0,48.834389,-104.713006
"296",408,5,0,48.131986,-105.716021
"297",409,8,0.5,48.143867,-106.04969
"298",410,3,0.333333333333333,48.205157,-106.384597
"299",411,2,0,47.985196,-108.322739
"300",412,1,1,48.037976,-108.329774
"301",413,5,0,48.458649,-107.866305
"302",414,5,0.4,46.013617,-104.427856
"303",415,1,1,42.273123,-104.653238
"304",416,4,0,48.104916,-104.864118
"305",417,4,0.5,48.791765,-105.05821
"306",418,3,0,48.887105,-105.104695
"307",419,3,0.666666666666667,48.66385,-107.414671
"308",420,4,0.5,48.66827,-107.422969
"309",421,6,1,48.266946,-111.136099
"310",422,2,0.5,46.188971,-105.622111
"311",423,5,0.6,41.131685,-105.771914
"312",424,2,1,42.951833,-104.196033
"313",425,2,0.5,43.13093,-104.610366
"314",428,4,0.25,44.456652,-104.732921
"315",429,1,1,43.327391,-106.67199
"316",430,2,0.5,44.476077,-106.228275
"317",431,1,0,45.020824,-105.864466
"318",432,4,1,45.220143,-106.950881
"319",433,2,0.5,45.916575,-107.128599
"320",434,3,0,45.055494,-105.223969
"321",435,4,0.25,45.532861,-104.1322
"322",436,6,0.166666666666667,46.239518,-105.296478
"323",438,5,0.6,47.030959,-108.593095
"324",439,3,0.333333333333333,48.391634,-109.690704
"325",440,2,0.5,43.556458,-104.68793
"326",441,1,1,45.286605,-106.147807
"327",442,2,0,45.430634,-106.143732
"328",443,1,1,45.51763,-106.183507
"329",444,5,0,45.60518,-106.267706
"330",445,6,0.5,48.764039,-105.173924
"331",446,6,0.5,48.931363,-104.9373
"332",447,5,0.2,48.839373,-104.732524
"333",448,8,0.625,48.940919,-106.855
"334",450,5,1,48.03797,-108.329785
"335",451,4,0.5,39.742551,-104.999822
"336",452,2,0.5,40.623466,-105.140776
"337",453,4,0.75,40.59874,-105.081849
"338",454,4,1,40.578992,-105.03935
"339",455,3,1,40.549171,-105.002514
"340",457,3,0.333333333333333,39.919561,-104.872391
"341",460,3,0.666666666666667,39.324322,-104.972104
"342",461,3,1,39.368965,-104.862161
"343",462,2,0,39.938251,-105.194553
