"","GNIS_NAME","HUC6","temp","RepeatID","Yrange","size","barrier","length","numSpE","pisc","prosper","FHMN","LNDC","CRCH","SDSH","LNSU","WSU","EB","GSUN","CARP","LL","RB","LKCH","BRMN","PLMN","SCAT","SHRH","FHCH","RCSU","CCAT","PLSU"
"50","Plentywood Creek","100600",21,407,10,4.16872884,0,40.451,3,0,0.55472121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"51","Smoke Creek","100600",21.8,406,16,17.05963544,0,59.156,2,1,0.730127277,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Smith Creek","101000",21.69,405,11,10.59114534,0,68.211,3,0,0.642393943,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"53","Snake Creek","100500",16.82,404,31,4.1709381,0,79.681,4,0,0.74358182,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"54","Bullhook Creek","100500",17.66,403,11,3.32634899,1,30.525,3,0,0.714327271,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fords Creek","100402",19.31,402,15,4.16730614,0,46.473,3,0,0.843581819,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"56","McDonald Creek","100402",20.31,401,14,12.19237738,0,114.136,5,0,0.670117335,0,0,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
"57","Currant Creek","100402",17.58,400,13,2.01427454,1,24.437,4,0,0.589630301,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"58","Big Coulee","100301",18.35,399,11,0.99944506,0,35.579,3,0,0.734981813,0,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Beaver Creek","100401",15.13,397,18,3.0708921,0,34.644,4,0,0.865793942,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Careless Creek","100402",18.02,396,16,28.6215954,0,89.396,10,0,0.882084852,1,1,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0
"61","","100302",16.78,395,11,0.62937782,0,43.16,3,0,0.645436361,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"62","Beaver Creek","0",21.45,393,48,12.13807993,0,304.426,6,1,0.696248484,1,0,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"63","South Fork McDonald Creek","100402",18.84,391,22,2.57090472,0,60.493,5,0,0.937896974,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"64","Sage Creek","100800",15.72,390,31,8.48542044,0,8.706,7,0,0.798309093,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1
"65","Sacagawea River","100402",21.84,387,26,6.03171075,0,155.282,10,0,0.572569694,1,0,NA,1,NA,1,NA,0,1,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA
"66","Pryor Creek","100700",20.2,386,22,68.9871524,0,22.453,8,0,0.856751514,1,1,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,1,1,1,1,1
"67","Prairie Elk Creek","100600",20.16,385,22,11.20885949,0,60.063,11,0,0.598503034,1,1,NA,1,0,1,NA,NA,0,NA,NA,1,NA,1,1,NA,1,NA,1,NA
"68","Polecat Creek","100800",16.61,384,22,0.3118959,0,20.927,5,0,0.628945459,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"69","Pass Creek","101800",17.34,383,32,22.97974496,0,111.418,8,0,0.762569704,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","O'Fallon Creek","101000",20.58,381,24,52.0880826,0,245.585,8,1,0.723321212,1,1,1,1,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0,NA
"71","","100800",15.95,379,31,21.22813372,1,92.757,5,0,0.794860605,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
"72","Nelson Creek","100401",20.32,378,29,1.3987846,0,44.004,5,0,0.580036369,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"73","Muddy Creek","100800",18.73,377,31,5.37008904,0,79.945,5,0,0.734248485,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0
"74","Little Warm Creek","100500",18.41,375,18,0.8287516,1,52.735,2,0,0.586123991,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"75","Medicine Bow River","101800",17.24,374,62,216.7895805,0,232.172,5,0,0.747224244,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Little Missouri River","101102",19.11,372,55,99.10784895,0,1005.347,10,1,0.692612123,1,0,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,1,0,1,1,NA
"77","H S Creek","101102",18.22,369,24,0.97261495,0,11.977,7,1,0.446145457,0,NA,0,NA,NA,0,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"78","Kill Woman Creek","100401",20.99,368,26,0.72721708,0,21.27,2,0,0.317175761,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"79","Kirby Creek","100800",19.49,367,22,2.09441085,0,28.309,4,0,0.579496972,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"80","Fly Creek","100700",20.38,365,23,10.08365326,0,76.218,1,0,0.630303029,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Fish Creek","100402",17.03,363,26,23.72343863,0,135.557,9,0,0.844357583,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0
"82","Elbow Creek","100700",17.86,362,22,5.95507071,0,48.572,4,0,0.641690908,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"83","Goose Creek","100901",18.02,361,48,75.70858735,0,17.034,9,1,0.88307273,NA,1,1,NA,0,1,NA,0,1,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"84","Fourchette Creek","100401",21.35,360,26,6.05994959,0,63.793,7,1,0.552393937,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA
"85","Dry Creek","100800",19.38,359,86,17.94692216,0,150.211,4,0,0.787115148,NA,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA
"86","East Fork Battle Creek","100500",18.34,357,21,10.35330336,0,69.483,1,1,0.660201554,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Eagle Creek","100302",17.37,356,23,0.37967871,1,10.915,1,0,0.734424246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Crow Creek","100500",19.28,354,23,4.06228234,0,47.505,7,0,0.627124075,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"89","Cottonwood Creek","100302",19.5,353,23,6.28311447,0,64.412,1,0,0.711012123,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Cottonwood Creek","100800",19.63,352,22,37.12014651,0,111.569,8,0,0.865533334,0,1,NA,1,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1
"91","Bridger Creek","100800",18.85,351,22,3.84950884,0,54.441,5,0,0.695424241,0,1,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"92","Boxelder Creek","101102",19.91,350,25,54.70164012,0,75.088,9,1,0.722509087,1,1,0,1,NA,1,NA,1,1,NA,NA,NA,0,NA,1,1,1,1,NA,NA
"93","Cabin Creek","101000",20.69,349,25,9.72964822,0,153.77,3,0,0.602212123,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"94","Butte Creek","100600",19.67,348,24,6.48788197,0,58.637,4,1,0.715387877,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Big Sandy Creek","100500",19.89,347,25,62.21038977,0,96.332,3,0,0.715984985,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"96","Big Dry Creek","100401",20.69,346,23,8.29579963,0,191.065,8,1,0.654757576,1,1,1,1,NA,1,NA,1,1,NA,NA,0,1,0,NA,NA,NA,1,1,NA
"97","Bennie Peer Creek","101000",21.88,345,24,12.4508658,0,82.492,8,0,0.712557572,1,NA,0,1,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"98","Black Thunder Creek","101201",20.87,344,21,24.55640329,0,5.148,7,1,0.696154294,1,NA,NA,1,NA,0,NA,1,1,NA,NA,NA,NA,0,NA,NA,1,NA,1,NA
"99","Badwater Creek","100800",18.83,342,22,14.90453124,0,42.061,4,0,0.77330303,0,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Armells Creek","100401",21.82,341,26,10.60173913,0,94.536,6,0,0.758066669,1,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
"101","Beaver Creek","100500",20.29,339,25,54.34921602,0,310.559,10,1,0.594430304,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"102","Beaver Creek","100901",21.38,338,24,3.00992444,0,334.752,2,0,0.459648484,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"103","Beaver Creek","100800",17.01,337,31,13.12719916,0,137.857,7,0,0.756357572,0,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"104","Battle Creek","100500",19.22,336,21,88.72535151,0,115.587,3,1,0.727234315,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"105","West Blacktail Creek","101000",20.37,335,22,2.54616286,1,7.733,3,1,0.414224242,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"106","Willow Creek","100500",19.9,331,24,18.94113259,0,96.394,7,0,0.679018178,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA
"107","Steve Forks","100401",20.1,330,23,1.49695559,0,40.88,9,0,0.537957577,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA
"108","Tie Creek","101102",18.41,329,24,1.74553524,1,27.993,5,0,0.615943405,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"109","Tensleep Creek","100800",13.87,328,25,67.08234968,0,25.707,4,1,0.939563637,NA,0,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Spring Creek","101201",18.71,327,60,3.67704864,0,18.933,4,0,0.615218178,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"111","Salt Creek","1.009",17.91,324,17,7.06520771,0,143.784,4,0,0.766454541,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"112","Laramie River","1.018e",18.57,323,15,83.4861456,1,14.301,5,1,0.418127276,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Big Creek","1.018e",15.29,322,21,90.42733702,1,13.646,6,1,0.843436357,NA,0,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Spring Creek","1.012",19.65,320,17,11.3613872,0,152.195,8,1,0.627696964,NA,1,1,NA,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
