RepeatID,GNIS_NAME.x,GearMiss,Gear.x,Gear.y,Party.x,Party.y,Database.x,Database.y,Month.x,Month.y,F_MAUG_HIS.x,GNIS_NAME.y,F_MAUG_HIS.y
117,Green River,M,| | | | | | | |,0 | 0 | 0 | 0 | 0 | 0,"Collector(s): G. H. Clemmer, R. Phipps, K. Thompson, USGS Biological Survey Fort Collins | Collector(s): G. H. Clemmer; K. Thompson; USGS Biological Survey Fort Collins; R. Phipps | Collector(s): G. H. Clemmer, R. Phipps, K. Thompson, USGS Biological Sur",0 | 0 | 0 | Gelwicks | Gelwicks | Gelwicks,Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili,Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks) | WGFD(Gelwicks),8,5,1184.973843,Green River,1184.973843
116,Green River,M,| | | | | |,0 | 0 | 0 | 0 | 0,"Collector(s): G. H. Clemmer, R. Phipps, K. Thompson, USGS Biological Survey Fort Collins | Collector(s): G. H. Clemmer, R. Phipps, K. Thompson, USGS Biological Survey Fort Collins | Collector(s): G. H. Clemmer, R. Phipps, K. Thompson, USGS Biological Sur",0 | 0 | Gelwicks | Gelwicks | Gelwicks,Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili,Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks) | WGFD(Gelwicks),8,5,1184.973843,Green River,1185.075921
246,North Platte River,M,| | | | | | | | |,0 | 0,Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T.,0 | 0,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,7,11,1163.585415,North Platte River,1163.585415
220,North Platte River,M,| | |,0 | 0,| | |,0 | 0,Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facili,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,9,10,1163.585415,North Platte River,1163.585415
115,Green River,M,| |,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,"Myers, G. S.; Gosline, W. A. | Myers, G. S.; Gosline, W. A. | Myers, G. S.; Gosline, W. A.",0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,Global Biodiversity Information Facility CAS Ichthyology (ICH) | Global Biodiversity Information Facility CAS Ichthyology (ICH) | Global Biodiversity Information Facility CAS Ichthyology (ICH),Wyoming Game & Fish Dept,9,10,1155.726316,Green River,1156.632356
140,Green River,,0,0 | 0,Gelwicks,0 | Gelwicks,WGFD(Gelwicks),Wyoming Game & Fish Dept | WGFD(Gelwicks),9,10,1109.506726,Green River,1109.506726
247,North Platte River,M,cs & bag seine | cs & bag seine | cs & bag seine | cs & bag seine | cs & bag seine | cs & bag seine | cs & bag seine | cs & bag seine,0 | 0 | 0 | 0,CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family,0 | 0 | 0 | 0,"Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility Unive",Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,9,7,858.2070252,North Platte River,858.2070252
266,Powder River,M,Mixed,Seine,Elser et al. 1980,Stagliano 2014,University of Wyoming Powder River dataset,University of Wyoming Powder River dataset,0,0,395.6607585,Powder River,395.1368005
119,Green River,M,| |,0,"R. F. Inger, M. L. Inger | R. F. Inger, M. L. Inger | R. F. Inger, M. L. Inger",0,Global Biodiversity Information Facility Field Museum of Natural History (Zoology) Fish Collection | Global Biodiversity Information Facility Field Museum of Natural History (Zoology) Fish Collection | Global Biodiversity Information Facility Field Museu,Wyoming Game & Fish Dept,8,8,389.4165545,Green River,389.1330912
172,Laramie River,M,0,E | E | E,Wesche 1973,WGFD 2013 Report | WGFD 2013 Report | WGFD 2013 Report,Kirk 2020,Kirk 2020 | Kirk 2020 | Kirk 2020,0,0,375.5941129,Laramie River,375.5941129
455,Cache la Poudre River,M,,,,,Haworth & Bestgen 2024,Haworth & Bestgen 2024,0,0,368.4412024,Cache la Poudre River,368.4412024
454,Cache la Poudre River,M,,,,,Haworth & Bestgen 2024,Haworth & Bestgen 2024,0,0,367.5186986,Cache la Poudre River,367.5186986
453,Cache la Poudre River,M,,,,,Haworth & Bestgen 2024,Haworth & Bestgen 2024,0,0,367.456823,Cache la Poudre River,367.456823
452,Cache la Poudre River,M,,,,,Haworth & Bestgen 2024,Haworth & Bestgen 2024,0,0,367.3532341,Cache la Poudre River,367.3532341
253,,M,0 | 0 | 0,0 | 0,0 | 0 | Gelwicks,0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,6,8,333.5011114,,333.5011114
58,Blacks Fork,M,0 | 0 | 0 | 0 | 0,0 | 0,0 | 0 | 0 | Gelwicks | Gelwicks,0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),Wyoming Game & Fish Dept | Tiemann (UWyo) unpublished,6,8,332.8701537,Blacks Fork,332.8701537
57,Blacks Fork,M,0 | 0 | 0 | 0 | 0,0 | 0 | 0 | 0,0 | 0 | 0 | Gelwicks | Gelwicks,0 | 0 | 0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),Wyoming Game & Fish Dept | Tiemann (UWyo) unpublished | Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,6,8,329.7635089,Blacks Fork,329.7635089
184,Laramie River,M,0,E,Wesche 1973,Maitland 2016,Kirk 2020,Kirk 2020,0,0,327.448706,Laramie River,327.448706
59,Blacks Fork,M,| |,0 | 0,Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department,0 | 0,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept | Tiemann (UWyo) unpublished,6,7,325.7016299,Blacks Fork,325.7016299
84,Blacks Fork,M,0 | 0 | 0,0 | 0,0 | 0 | Gelwicks,0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,8,8,323.9176324,Blacks Fork,324.0192349
82,Blacks Fork,M,Electrofisher | 0,0 | 0,"Collector(s): Curtis Gill, Kevin R. Gelwicks, S. Willis, K. Magowan, R. Braham | Gelwicks",0 | 0,Global Biodiversity Information Facility MSB Fish Collection (Arctos) | WGFD(Gelwicks),Wyoming Game & Fish Dept | Tiemann (UWyo) unpublished,8,8,322.9015169,Blacks Fork,323.2528421
86,Blacks Fork,M,0 | 0 | 0 | 0 | 0,0,0 | 0 | 0 | Gelwicks | Gelwicks,0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),Tiemann (UWyo) unpublished,8,8,318.7852163,Blacks Fork,322.4623639
