GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
Smiths Fork,5,0.666666667,0.714285714,4,0.999,0.545454545,140401
Smiths Fork,3,0.5,0.8,3,0.999,0.5,140401
Willow Creek,333,0.999,0.999,1,0.999,0.333333333,140401
Hams Fork,150,0.75,0.888888889,0,0.999,0.111111111,140401
Smiths Fork,4,0.999,0.75,4,0.999,0.625,140401
Blacks Fork,82,0.999,0.75,3,0.999,0.454545455,140401
Hams Fork,147,0.285714286,0.375,3,0.666666667,0.727272727,140401
Little Muddy Creek,159,0.999,0.999,3,0.999,0.5,140401
North Fork Little Muddy Creek,235,0.75,0.75,0,0.999,0.25,140401
Ryckman Creek,388,0.333333333,0.333333333,1,0.333333333,0.75,140401
Clear Creek,355,0.999,0.999,2,0.999,0.5,140401
Muddy Creek,199,0.5,0.25,2,0.5,0.833333333,140401
Muddy Creek,200,0.666666667,0.714285714,0,0.999,0.285714286,140401
Muddy Creek,201,0.25,0.5,0,0.5,0.5,140401
Vermillion Creek,334,0.5,0.5,0,0.5,0.5,140401
Little Snake River,168,0.2,0.222222222,2,0.001,0.818181818,140500
Little Snake River,169,0.666666667,0.857142857,3,0.999,0.4,140500
Savery Creek,280,0.999,0.857142857,1,0.999,0.25,140500
Savery Creek,279,0.999,0.8,3,0.999,0.5,140500
Savery Creek,281,0.5,0.666666667,6,0.999,0.777777778,140500
North Fork Savery Creek,240,0.25,0.375,1,0.333333333,0.666666667,140500
Dirtyman Fork,113,0.5,0.4,1,0.5,0.666666667,140500
Wild Cow Creek,332,0.001,0.4,0,0.001,0.6,140500
Muddy Creek,197,0.666666667,0.75,3,0.999,0.571428571,140500
Little Beaver Creek,155,0.4,0.333333333,2,0.333333333,0.75,101102
Little Beaver Creek,156,0.333333333,0.333333333,2,0.001,0.75,101102
Little Beaver Creek,414,0.285714286,0.333333333,0,0.25,0.666666667,101102
Tie Creek,435,0.25,0.4,1,0.333333333,0.666666667,101102
Tie Creek,329,0.001,0.001,0,0.001,0.999,101102
Little Missouri River,372,0.6,0.6,2,0.5,0.5,101102
Little Missouri River,163,0.428571429,0.375,3,0.75,0.727272727,101102
Little Missouri River,161,0.999,0.6,5,0.999,0.7,101102
Little Missouri River,160,0.999,0.5,1,0.999,0.6,101102
Little Missouri River,162,0.666666667,0.4,2,0.666666667,0.714285714,101102
H S Creek,369,0.001,0.142857143,2,0.4,0.888888889,101102
Boxelder Creek,350,0.571428571,0.666666667,6,0.75,0.6,101102
Beaver Creek,393,0.333333333,0.333333333,3,0.5,0.777777778,101102
Antelope Creek,46,0.999,0.999,5,0.999,0.625,101201
Antelope Creek,426,0.001,0.25,1,0.001,0.8,101201
Spring Creek,327,0.001,0.001,2,0.001,0.999,101201
Cheyenne River,95,0.333333333,0.5,3,0.5,0.636363636,101201
Black Thunder Creek,440,0.5,0.714285714,3,0.5,0.5,101201
Black Thunder Creek,344,0.5,0.714285714,3,0.5,0.5,101201
Lance Creek,174,0.999,0.857142857,1,0.999,0.25,101201
,425,0.5,0.5,3,0.666666667,0.714285714,101201
Cheyenne River,97,0.4,0.444444444,2,0.666666667,0.636363636,101201
Cheyenne River,94,0.5,0.333333333,8,0.999,0.909090909,101201
Cheyenne River,96,0.833333333,0.625,3,0.999,0.545454545,101201
Beaver Creek,42,0.6,0.428571429,1,0.999,0.625,101201
Indian Creek,424,0.999,0.4,1,0.999,0.666666667,101201
