"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"31","pCol ~ barrier * crop","barrier,crop",2,"full_interactions",0.0831927418040452,332.743630056575,0.016636853868815,26.3873609076596
"64","pCol ~ barrier + length + size","barrier,length,size",3,"additive",0.0832107212271384,336.665931156725,0.0166548332919082,30.3096620078091
"83","pCol ~ size * prosper * crop","size,prosper,crop",3,"full_interactions",0.0832815362039268,336.785602889311,0.0167256482686965,30.4293337403952
"104","pCol ~ barrier + length + size + prosper","barrier,length,size,prosper",4,"additive",0.0833037925954323,338.33532280741,0.016747904660202,31.9790536584942
"6","pCol ~ length","length",1,"additive",0.0833398599147651,334.409075355838,0.0167839719795348,28.0528062069223
"7","pCol ~ length","length",1,"full_interactions",0.0833398599147651,334.409075355838,0.0167839719795348,28.0528062069223
"33","pCol ~ length * size","length,size",2,"full_interactions",0.0834539610211609,336.294735179089,0.0168980730859307,29.9384660301731
"25","pCol ~ barrier * length","barrier,length",2,"full_interactions",0.0835085537783587,337.419887366562,0.0169526658431284,31.063618217646
"34","pCol ~ length + prosper","length,prosper",2,"additive",0.0835383161414388,336.218078761914,0.0169824282062085,29.8618096129978
"8","pCol ~ size","size",1,"additive",0.0836596559179133,334.10232303826,0.017103767982683,27.7460538893441
"9","pCol ~ size","size",1,"full_interactions",0.0836596559179133,334.10232303826,0.017103767982683,27.7460538893441
"26","pCol ~ barrier + size","barrier,size",2,"additive",0.0836628255523196,335.647306047657,0.0171069376170893,29.2910368987412
"65","pCol ~ barrier * length * size","barrier,length,size",3,"full_interactions",0.0837361216227408,341.634241468919,0.0171802336875106,35.2779723200034
"38","pCol ~ size + prosper","size,prosper",2,"additive",0.0837422929724739,335.754558224254,0.0171864050372437,29.3982890753377
"70","pCol ~ barrier + size + prosper","barrier,size,prosper",3,"additive",0.0838376428127096,337.378934384278,0.0172817548774794,31.0226652353626
"24","pCol ~ barrier + length","barrier,length",2,"additive",0.0838591648756367,336.439136729685,0.0173032769404065,30.0828675807687
"27","pCol ~ barrier * size","barrier,size",2,"full_interactions",0.0840284868698312,336.940888284735,0.017472598934601,30.584619135819
"39","pCol ~ size * prosper","size,prosper",2,"full_interactions",0.0840824701908092,337.737006327444,0.0175265822555789,31.380737178528
"66","pCol ~ barrier + length + prosper","barrier,length,prosper",3,"additive",0.0840854285047071,338.246171389792,0.0175295405694768,31.8899022408763
"35","pCol ~ length * prosper","length,prosper",2,"full_interactions",0.0841210397300123,338.182415636898,0.0175651517947821,31.8261464879819
"77","pCol ~ length * size * prosper","length,size,prosper",3,"full_interactions",0.0845445394315013,343.797899571197,0.0179886514962711,37.4416304222811
