CommonName,SciName,Code,a,b,lw_Source,Status,TrophicGuild,FeedingGuild,ReproductiveGuild,Thermal,SimpleThermal,HabitatGuild,Glacial,Notes
Spottail Shiner,Hudsonius hudsonius,SPSH,-5.03363,2.98913,Schneider et al. 2000,Introduced,,,,,,,,
Stonecat,Noturus flavus,SCAT,-5.038,3.009,Ecklebecker et al. 2023,Native,IC,B,CG,,,,E,
Sturgeon Chub,Macrhybopisis gelida,STCH,,,,Native,,,,,,,L,
Suckermouth Minnow,,SMMN,,,,Native,,,,,,,L,
Tiger Muskellunge,Esox masquinongy x lucius,TIM,-6.009,3.292,Ecklebecker et al. 2023,Introduced,,,,,,,,
Utah Chub,Gila atraria,GILA,-5.155,3.109,Ecklebecker et al. 2023,Native,,,,,,,L,
Walleye,Sander vitreus,WE,-5.688,3.249,Ecklebecker et al. 2023,Introduced,IC,G,LP,,,,,
Western Silvery Minnow,Hybognathus argyritis,WSMN,-5,3,,Native,H,B,PB,,,,E,
Westslope Cutthroat Trout,Oncorhynchus lewisi,WCT,-5.086,3.034,Ecklebecker et al. 2023,Native,,,,,,,E,
White Crappie,Pomoxis annularis,WHCR,-5.8236,3.3835,Schneider et al. 2000,Introduced,,,,,,,,
White Sturgeon,Acipenser transmontanus,WSTRG,-6.692,3.454,Ecklebecker et al. 2023,Native,,,,,,,,
White Sucker,Catostomus commersonii,WSU,-5.243,3.123,Ecklebecker et al. 2023,Native,O,B,LO,Cool,Cool,Lotic,E,
Yellow Bullhead,Ameiurus natalis,YLBH,-5.442,3.254,Ecklebecker et al. 2023,Introduced,IC,B,CG,Warm,Warm,,,
Yellow Perch,Perca flavescens,YP,-5.507,3.268,Ecklebecker et al. 2023,Introduced,IC,WC,PH,,,,,
Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,RMCT,-4.958,2.985,Ecklebecker et al. 2023,Native,,,,,,,E,
,,ONC,,,,Introduced,,,,,,,,
,,TGT,,,,Introduced,,,,,,,,
,,WBS,,,,Introduced,,,,,,,,
Rock Bass,,RKB,,,,Introduced,,,,,,,,
,,WS_PLMN,,,,Native,,,,,,,Mixed,
,,SSTRG,,,,Native,,,,,,,L,
,,GAM,,,,Introduced,,,,,,,,
,,SPK,,,,Introduced,,,,,,,,
,,HYBOG,,,,Native,,,,,,,Mixed,
