"pointid","xcoord","ycoord"
343,-827909.5219,2193599.4995
344,-827839.877000001,2194749.50659999
345,-826446.8662,2196025.5227
346,-824692.0845,2196529.7512
347,-828231.0545,2195483.2157
348,-895316.010199999,2224377.3808
349,-895633.732400001,2224066.4796
350,-895811.241100001,2223803.8211
351,-895937.3028,2223620.7263
352,-896059.226299999,2222572.0553
353,-893359.090399999,2232705.0669
354,-892259.5738,2229797.7333
355,-893970.573000001,2234462.8902
356,-894633.409700001,2234835.3315
357,-914426.852900001,2214591.0099
358,-909119.2322,2218392.47010001
359,-915165.0446,2214471.7307
360,-919601.427599999,2215146.5441
361,-920688.379200001,2215936.45069999
362,-922613.7247,2216412.60270001
363,-923295.3765,2216535.76959999
364,-924281.2961,2217045.6472
365,-924931.2982,2218447.1566
366,-926024.931299998,2219541.48870001
367,-927299.341700001,2220760.4756
368,-929908.608600001,2221722.64009999
369,-933070.536800002,2221468.95839999
370,-933010.090800002,2221273.7622
371,-933294.300899999,2220875.3843
372,-935807.2534,2221411.2387
373,-936579.333400001,2221140.8914
374,-943564.7645,2220435.6552
375,-943817.844699999,2220693.3656
376,-945067.378200001,2220973.08009999
377,-945172.3321,2221112.1666
378,-945610.341000001,2222865.55409999
379,-946262.921700001,2223162.007
380,-947666.0913,2225155.17579999
381,-947360.025400001,2224850.7853
382,-948606.9493,2227890.3977
383,-970138.218900001,2231064.9871
384,-959741.269999998,2229145.75670001
385,-970497.315299999,2231344.43630001
386,-973941.8992,2236157.24159999
387,-971887.5001,2236254.87799999
388,-973264.559100001,2238961.5545
389,-975770.096999999,2241492.7953
390,-976066.7106,2244796.6129
391,-975750.882400001,2243071.375
392,-975912.722100001,2241796.4979
393,-975899.540699999,2241900.4117
394,-979396.4745,2238089.1623
395,-977639.876199999,2237404.8594
396,-979391.9649,2238243.14240001
397,-981551.176000001,2238487.0718
398,-982087.022800001,2238573.9553
399,-982699.111899999,2238562.4089
400,-987995.573300001,2237119.61119999
401,-993354.982200001,2234589.263
402,-991132.2401,2235257.4657
403,-996588.980599999,2232025.3949
404,-996864.9733,2232114.882
405,-998137.939300002,2231265.33789999
406,-998757.664799999,2230617.4381
407,-1000683.4562,2230875.3609
408,-1002619.1047,2230709.1968
409,-1002666.0019,2230429.2368
410,-1004060.2026,2230490.9771
411,-1006711.0621,2229722.491
412,-1006380.8624,2229795.1809
413,-1007507.6012,2229334.56619999
414,-1011386.8053,2227315.7297
415,-1010281.8519,2227973.6564
416,-1013691.759,2225159.3527
417,-1011398.9155,2227295.13130001
418,-1015713.0575,2225290.01999999
419,-1017665.6658,2225653.95310001
420,-1018151.6863,2224915.8166
421,-1021786.877,2224002.4356
422,-1025545.3454,2222816.0209
423,-1026994.7129,2223342.62750001
424,-1028255.5731,2222956.7341
425,-1029521.7177,2223311.74610001
426,-1031059.2753,2223084.0102
427,-1031608.7924,2222858.2749
428,-1031734.9152,2222676.53029999
429,-1033779.8442,2223509.5396
430,-1037474.6762,2222416.9107
431,-1035218.3009,2223299.3792
432,-1037800.6314,2222473.34430001
433,-1038979.0088,2222628.1298
434,-1040842.9664,2223429.8806
435,-1047535.5216,2222462.1891
436,-1050854.832,2224024.5164
437,-1051506.2781,2224570.0921
438,-1052486.1348,2225266.22600001
439,-1058212.1024,2230345.5158
440,-1059197.1684,2232125.9269
441,-1058707.1945,2232936.4642
442,-948948.940600001,2228122.1344
443,-948600.696699998,2227914.55300001
444,-904661.1083,2219721.4662
445,-904232.422200002,2219671.33039999
446,-903911.539100001,2219633.81279999
447,-903726.743300001,2219670.8352
448,-895387.551900001,2225237.25299999
449,-895656.5483,2226035.4357
450,-895678.985,2225842.47380001
451,-903357.5088,2219569.0233
452,-902735.780700001,2219496.3318
453,-901287.4401,2220037.57900001
454,-976402.490200001,2237938.78609999
455,-901127.3787,2220185.99159999
456,-897823.372400001,2220745.9999
457,-897151.3704,2220927.9958
458,-896242.252,2220997.98150001
459,-895435.2846,2221148.0689
460,-894603.3747,2221053.9974
461,-892321.375900001,2219948.00339999
462,-889569.3388,2217965.9667
463,-892349.378000001,2220018.00100001
464,-770357.816400003,2244443.74639999
465,-770308.8115,2244604.7475
466,-770371.687100001,2244427.7535
467,-775705.811699999,2244751.755
468,-774627.813200001,2244877.7516
469,-774368.812599999,2244800.7509
470,-775747.9023,2244805.0212
471,-787129.8135,2246613.7547
472,-783699.819700002,2245829.75579999
473,-792841.8135,2245185.7507
474,-792827.758600001,2245227.24859999
475,-792824.1674,2245221.82310001
476,-793193.821399999,2245179.544
477,-795963.813100001,2246641.7447
478,-795319.812,2246053.7486
479,-800107.813600001,2249791.74609999
480,-800088.901199999,2249765.82530001
481,-812847.809300002,2250897.75509999
482,-812712.539600001,2250752.0676
483,-812455.816500001,2249836.76429999
484,-812212.1157,2249520.0496
485,-811370.8176,2249224.74910001
486,-813687.8081,2251373.7444
487,-812995.406899999,2250996.51180001
488,-812938.8075,2250974.7439
489,-817383.816700001,2251317.7459
490,-817103.817399999,2251387.75070001
491,-817901.8176,2251065.7491
492,-813799.812400001,2251373.75059999
493,-822303.244200001,2251422.9395
494,-822277.807499999,2251207.3883
495,-824901.8111,2251149.75280001
496,-823627.812699999,2251541.7518
497,-821832.526000001,2250891.26920001
498,-821807.807600002,2250883.7465
499,-823063.557600002,2251748.69700001
500,-822920.807600002,2251814.7451
501,-822479.810499999,2251765.7413
502,-822297.813100001,2251597.7491
503,-822675.8164,2251891.7438
504,-822801.817299999,2251905.7416
505,-821779.810699999,2250883.74650001
506,-821709.816099999,2250827.74780001
507,-826399.814600001,2249777.7447
508,-822301.19,2251454.0715
509,-828303.812,2251569.7454
510,-828443.815300002,2251723.74189999
511,-828513.811999999,2251933.74220001
512,-828821.8164,2252381.7494
513,-830501.810000001,2252773.751
514,-830319.811899999,2252787.7478
515,-829493.814500001,2252535.7442
516,-829073.8134,2252507.7459
517,-834379.8105,2252717.7491
518,-834631.8154,2252661.75030001
519,-841309.811599999,2249945.75090001
520,-841506.1053,2250017.6405
521,-841954.2219,2250311.78920001
522,-840539.813600001,2250463.7452
523,-841803.2434,2250213.4554
524,-842121.810400001,2248699.74079999
525,-841967.809,2248727.7457
526,-841750.812599999,2248804.74660001
527,-842429.8108,2248755.7461
528,-846671.8129,2247957.7455
529,-845411.814300001,2247845.7463
530,-847763.811100001,2246487.7553
531,-846769.816500001,2247943.7493
532,-849997.3138,2246823.7521
533,-849919.808599999,2246823.7512
534,-851851.814300001,2246389.74349999
535,-851690.815,2246522.745
536,-854725.008199999,2244916.61
537,-854335.135600001,2244870.6444
538,-849597.812899999,2247229.7429
539,-849499.807800002,2247411.7512
540,-849723.813799998,2247033.75030001
541,-849121.8078,2247775.7497
542,-852371.490700001,2245557.19099999
543,-852910.6204,2244770.9354
544,-849703.943099999,2247064.65810001
545,-851299.7759,2246906.148
546,-856597.814099998,2238563.75140001
547,-856394.817399999,2238696.7496
548,-859481.812499999,2237471.7473
549,-864283.816400001,2225851.7531
550,-863737.807800001,2225655.74749999
551,-865564.816,2226796.7464
552,-864598.815300001,2226698.7468
553,-867237.8099,2226061.7494
554,-867433.8134,2224423.7471
555,-869099.814099998,2224409.74120001
556,-868889.815400001,2224185.751
557,-873225.128,2221512.5493
558,-872767.228599998,2221767.31840001
559,-881311.796000001,2213389.27469999
560,-879928.177100002,2213600.82259999
561,-883805.265,2213336.099
562,-863503.9427,2229062.67710001
563,-863525.918,2229097.55629999
564,-813827.712200001,2251343.7121
565,-800172.583399999,2249737.54050001
566,-800151.949200001,2249789.34249999
567,-802999.1007,2243919.2536
568,-804504.484999999,2243194.7722
569,-806578.825200003,2242591.17659999
570,-808794.600999999,2240337.0574
571,-808067.119400002,2240860.0446
572,-806693.642400002,2242366.7345
573,-809429.8934,2239796.755
574,-810034.642200002,2239330.36519999
575,-810250.0374,2239285.9745
576,-811336.060000001,2238879.94069999
577,-812279.651100001,2238533.8834
578,-812837.2016,2238172.3282
579,-814072.538699999,2235918.437
580,-814279.295800001,2235529.24899999
581,-816055.266100002,2230397.75209999
582,-816284.486400001,2229964.67039999
583,-784680.111600001,2244464.3276
584,-784615.445399999,2244575.9293
585,-786704.0697,2242786.7713
586,-784997.0871,2243918.48489999
587,-783766.918,2245805.03949999
588,-791759.052300001,2240551.7261
589,-787883.444700001,2241799.2424
590,-792247.5754,2240397.1779
591,-793379.2688,2238582.8103
592,-796009.9607,2232412.1948
593,-793599.0772,2238156.0403
