"pointid","xcoord","ycoord"
337,-1149808.7023,2241179.79439999
338,-1150577.8736,2239267.49460001
339,-1150563.8757,2239197.49999999
340,-1150384.3062,2238898.4385
341,-1155785.8721,2231819.5044
342,-1156327.997,2231473.37719999
343,-1157535.873,2230909.505
344,-1157745.8699,2230559.49539999
345,-1157885.8715,2229845.5012
346,-1158326.8853,2229138.4964
347,-1158322.6694,2228932.4371
348,-1158368.7268,2229248.834
349,-1158417.873,2227157.4952
350,-1158753.8764,2227059.4923
351,-1158291.8749,2226401.49989999
352,-1158391.5305,2225698.7805
353,-1158305.8759,2225631.4914
354,-1158223.578,2225207.23780001
355,-1158109.8772,2224735.49540001
356,-1157920.8778,2224210.49840001
357,-1156961.8739,2223111.4912
358,-1157031.8711,2222243.5033
359,-1157101.8754,2221921.49609999
360,-1158319.8691,2228795.503
361,-1158361.8796,2228739.49909999
362,-1158662.8755,2228368.4947
363,-1157507.8745,2218925.5053
364,-1157675.8769,2218757.5036
365,-1157703.871,2218687.4971
366,-1157822.8783,2218498.50159999
367,-1158075.2939,2218323.5033
368,-1158615.618,2217914.0175
369,-1159299.881,2217735.4973
370,-1159537.8743,2217861.49329999
371,-1159551.8838,2217413.5019
372,-1159495.8721,2217357.5043
373,-1164232.4904,2209062.328
374,-1164104.5937,2209115.6376
375,-1164035.8555,2209097.5884
376,-1162487.5196,2208992.6767
377,-1168792.895,2207905.987
378,-1168277.5825,2207987.8356
379,-1167679.1298,2208095.82219999
380,-1141806.2361,2304508.4172
381,-1128485.8742,2330533.5056
382,-1136185.8692,2315343.50849999
383,-1137726.2114,2312209.93819999
384,-1158326.873,2229600.5016
385,-1139944.8787,2310072.50569999
386,-1157073.8738,2223727.4973
387,-1157017.8749,2223503.4971
388,-1157101.8761,2223755.49539999
389,-1157283.8756,2223937.4983
390,-1158473.877,2226093.50599999
391,-1157962.8707,2229754.495
392,-1147483.8714,2245189.49700001
393,-1147511.8726,2244867.49509999
